"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\about\page.module.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\about\page.tsx", "TypeScript JSX", 5, 0, 0, 0, 2, 7
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\ai\page.module.css", "CSS", 0, 0, 67, 0, 16, 83
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\ai\page.tsx", "TypeScript JSX", 37, 0, 0, 0, 6, 43
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\ai\summarizer\page.module.css", "CSS", 0, 0, 114, 0, 34, 148
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\ai\summarizer\page.tsx", "TypeScript JSX", 71, 0, 0, 0, 14, 85
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\ai\worksheets\page.module.css", "CSS", 0, 0, 144, 0, 30, 174
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\ai\worksheets\page.tsx", "TypeScript JSX", 115, 0, 0, 0, 24, 139
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\animation\AnimationDiv.tsx", "TypeScript JSX", 10, 0, 0, 0, 2, 12
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\animation\animation.ts", "TypeScript", 0, 45, 0, 0, 3, 48
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\ai\AIState.ts", "TypeScript", 0, 5, 0, 0, 0, 5
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\ai\convert.ts", "TypeScript", 0, 88, 0, 0, 6, 94
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\ai\generate.ts", "TypeScript", 0, 68, 0, 0, 10, 78
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\color.ts", "TypeScript", 0, 32, 0, 0, 2, 34
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\firebase\analytics.ts", "TypeScript", 0, 13, 0, 0, 5, 18
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\firebase\init.ts", "TypeScript", 0, 19, 0, 0, 2, 21
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\firebase\login.ts", "TypeScript", 0, 50, 0, 0, 13, 63
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\firebase\user.ts", "TypeScript", 0, 33, 0, 0, 9, 42
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\id.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\live\events\event.ts", "TypeScript", 0, 10, 0, 0, 2, 12
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\live\game.ts", "TypeScript", 0, 213, 0, 0, 36, 249
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\live\set.ts", "TypeScript", 0, 76, 0, 0, 7, 83
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\live\user.ts", "TypeScript", 0, 7, 0, 0, 0, 7
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\phrase.ts", "TypeScript", 0, 35, 0, 0, 2, 37
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\third-party\kahoot.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\third-party\quillbot.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\third-party\quizlet.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\backend\util.ts", "TypeScript", 0, 43, 0, 0, 4, 47
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\ai-loading\loading.module.css", "CSS", 0, 0, 39, 0, 9, 48
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\ai-loading\loading.tsx", "TypeScript JSX", 12, 0, 0, 0, 2, 14
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\basic-return\return.module.css", "CSS", 0, 0, 44, 0, 10, 54
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\basic-return\return.tsx", "TypeScript JSX", 13, 0, 0, 0, 2, 15
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\footer\footer.module.css", "CSS", 0, 0, 84, 0, 27, 111
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\footer\footer.tsx", "TypeScript JSX", 53, 0, 0, 0, 6, 59
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\header\header.module.css", "CSS", 0, 0, 188, 0, 55, 243
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\header\header.tsx", "TypeScript JSX", 106, 0, 0, 0, 12, 118
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\loading\loading.module.css", "CSS", 0, 0, 249, 0, 20, 269
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\loading\loading.tsx", "TypeScript JSX", 16, 0, 0, 1, 3, 20
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\popup\popup.module.css", "CSS", 0, 0, 34, 0, 5, 39
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\popup\popup.tsx", "TypeScript JSX", 23, 0, 0, 0, 3, 26
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\require-signin\needsignin.module.css", "CSS", 0, 0, 45, 0, 10, 55
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\require-signin\needsignin.tsx", "TypeScript JSX", 13, 0, 0, 0, 3, 16
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\tabs\tab.module.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\tabs\tab.tsx", "TypeScript JSX", 5, 0, 0, 0, 2, 7
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\tabs\tabbar.module.css", "CSS", 0, 0, 37, 0, 11, 48
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\components\tabs\tabbar.tsx", "TypeScript JSX", 39, 0, 0, 0, 10, 49
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\contact\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\context\signincontext.ts", "TypeScript", 0, 3, 0, 0, 1, 4
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\context\usercontext.ts", "TypeScript", 0, 11, 0, 0, 1, 12
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\create\page.module.css", "CSS", 0, 0, 480, 1, 91, 572
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\create\page.tsx", "TypeScript JSX", 311, 0, 0, 1, 42, 354
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\edit\[id]\page.module.css", "CSS", 0, 0, 323, 0, 99, 422
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\edit\[id]\page.tsx", "TypeScript JSX", 353, 0, 0, 0, 41, 394
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\edit\[id]\question-types\basestyles.module.css", "CSS", 0, 0, 90, 0, 16, 106
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\edit\[id]\question-types\mcq.module.css", "CSS", 0, 0, 37, 0, 14, 51
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\edit\[id]\question-types\mcq.tsx", "TypeScript JSX", 35, 0, 0, 0, 4, 39
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\edit\[id]\question-types\tf.module.css", "CSS", 0, 0, 31, 0, 11, 42
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\edit\[id]\question-types\tf.tsx", "TypeScript JSX", 40, 0, 0, 0, 2, 42
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\explore\sets\page.module.css", "CSS", 0, 0, 87, 1, 21, 109
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\explore\sets\page.tsx", "TypeScript JSX", 98, 0, 0, 0, 15, 113
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\global-error.tsx", "TypeScript JSX", 30, 0, 0, 0, 4, 34
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\globals.css", "CSS", 0, 0, 43, 0, 10, 53
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\hooks\useCurrentUser.ts", "TypeScript", 0, 45, 0, 0, 7, 52
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\hooks\useHover.ts", "TypeScript", 0, 13, 0, 0, 3, 16
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\hooks\useOutsideClick.ts", "TypeScript", 0, 14, 0, 0, 2, 16
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\[id]\page.module.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\[id]\page.tsx", "TypeScript JSX", 36, 0, 0, 0, 12, 48
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\end\endgame.module.css", "CSS", 0, 0, 169, 0, 44, 213
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\end\endgame.tsx", "TypeScript JSX", 124, 0, 0, 0, 16, 140
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\host.module.css", "CSS", 0, 0, 12, 0, 0, 12
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\host.tsx", "TypeScript JSX", 194, 0, 0, 0, 31, 225
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\layout.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 13
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\pre-game\pregame.module.css", "CSS", 0, 0, 116, 0, 38, 154
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\pre-game\pregame.tsx", "TypeScript JSX", 77, 0, 0, 0, 9, 86
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\question\question.module.css", "CSS", 0, 0, 105, 0, 35, 140
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\question\question.tsx", "TypeScript JSX", 45, 0, 0, 0, 5, 50
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\question\revealedquestion.tsx", "TypeScript JSX", 35, 0, 0, 0, 2, 37
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\waiting\waiting.module.css", "CSS", 0, 0, 36, 0, 8, 44
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\host\waiting\waiting.tsx", "TypeScript JSX", 28, 0, 0, 0, 6, 34
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\join\page.module.css", "CSS", 0, 0, 61, 0, 8, 69
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\join\page.tsx", "TypeScript JSX", 59, 0, 0, 0, 12, 71
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\layout.tsx", "TypeScript JSX", 14, 0, 0, 0, 2, 16
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\game-ended\ended.module.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\game-ended\ended.tsx", "TypeScript JSX", 12, 0, 0, 0, 2, 14
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\layout.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 13
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\lobby\lobby.module.css", "CSS", 0, 0, 22, 0, 3, 25
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\lobby\lobby.tsx", "TypeScript JSX", 20, 0, 0, 0, 3, 23
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\not-in-game\notingame.module.css", "CSS", 0, 0, 45, 0, 10, 55
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\not-in-game\notingame.tsx", "TypeScript JSX", 9, 0, 0, 0, 2, 11
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\page.module.css", "CSS", 0, 0, 20, 0, 2, 22
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\page.tsx", "TypeScript JSX", 135, 0, 0, 2, 27, 164
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\question\mcq\question.module.css", "CSS", 0, 0, 76, 0, 25, 101
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\question\mcq\question.tsx", "TypeScript JSX", 78, 0, 0, 0, 11, 89
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\waiting\startgamewait.tsx", "TypeScript JSX", 26, 0, 0, 0, 6, 32
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\waiting\waiting.module.css", "CSS", 0, 0, 129, 2, 16, 147
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\live\[id]\waiting\waiting.tsx", "TypeScript JSX", 10, 0, 0, 0, 2, 12
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\my-sets\page.module.css", "CSS", 0, 0, 212, 0, 60, 272
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\my-sets\page.tsx", "TypeScript JSX", 220, 0, 0, 0, 35, 255
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\not-found.tsx", "TypeScript JSX", 9, 0, 0, 0, 2, 11
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\page.module.css", "CSS", 0, 0, 91, 0, 30, 121
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\page.tsx", "TypeScript JSX", 105, 0, 0, 0, 6, 111
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\privacy\page.module.css", "CSS", 0, 0, 45, 0, 11, 56
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\privacy\page.tsx", "TypeScript JSX", 77, 0, 0, 0, 3, 80
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\profile\[id]\page.module.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\profile\[id]\page.tsx", "TypeScript JSX", 34, 0, 0, 0, 9, 43
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\rootlayoutcontent.tsx", "TypeScript JSX", 22, 0, 0, 0, 3, 25
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\set\[id]\page.module.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\set\[id]\page.tsx", "TypeScript JSX", 11, 0, 0, 0, 5, 16
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\settings\page.module.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\settings\page.tsx", "TypeScript JSX", 7, 0, 0, 0, 2, 9
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\terms\page.module.css", "CSS", 0, 0, 45, 0, 11, 56
"c:\Users\lando\OneDrive\Documents\Coding\blitz\src\app\terms\page.tsx", "TypeScript JSX", 103, 0, 0, 0, 3, 106
"Total", "-", 2905, 826, 3320, 8, 1331, 8390